Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Lebanon,137924000.0,3879000.0,1335970000.0,2860020313.18819,1898780570.45821,2623502612.40255,2674534372.19901,3375980757.8597,4333045470.38383,4803602660.45614,4279880834.52716,3137050288.4,3111315000.1,2661087127.6,2862509426.6,2159289951.7,2568485071.1,2522409653.4,2658003844.61444,1906392482.4039,1606894721.93483
Libya,141000000.0,-133000000.0,145000000.0,143000000.0,357000000.0,1038000000.0,2064000000.0,4689000000.0,4111300000.0,1371000000.0,1784000000.0,131000000.0,2509000000.0,6000000.0,77000000.0,394799000.0,440000000.0,110000000.0,275537800.0,376500000.0,-487200000.0
Morocco,426553283.860634,2824557251.52006,480355698.049863,2312829823.25089,893325392.835825,1670609688.92878,2460787164.18439,2825801376.44064,2466288357.37234,1970323920.01346,1240625859.11404,2521362080.65559,2841954371.38454,3360909924.36421,3525384612.43801,3252913902.35666,2153363904.93515,2680109856.21237,3544387229.27822,1720825003.13095,1418713118.61153
Oman,82000000.0,5201560.46814044,109232769.830949,24967490.2470741,111053315.994798,1538361508.45254,1596098829.6489,3332119635.89077,2951885565.6697,1509232769.83095,1242652795.83875,1629144343.30299,1364629388.81664,1612430962.28869,1286345903.77113,-2172431729.51886,2266070221.06632,2878543563.06892,5600780234.07022,1998179453.83615,1909492847.85436
Qatar,17749910.0,17213380.0,-21042630.0,88170440.0,437918000.0,351914000.0,127431000.0,5160249000.0,3657774730.0,3214574180.0,1863173410.0,938516483.516483,395879120.879121,-840384615.384615,1040384615.38461,1070879120.87912,773901098.901099,985989010.989011,-2186263736.26374,-2812637362.63736,-2434065934.06593
Saudi Arabia,-1881066666.66667,19640000.0,-614133333.333333,-586506666.666667,-334320000.0,4385456396.44643,5975887388.89812,6175321114.57166,5505983968.58641,436351281.582907,4878894395.2517,4683855881.26771,5035060850.94588,3371408456.52722,1509063087.30335,3970644084.62136,21954833889.9561,1014062501.14037,12141122232.904,3079217251.32355,1621264195.43532
Sudan,392200000.0,574000000.0,713180000.0,1349190000.0,1511070000.0,1561689996.89435,1841833814.08367,1504379838.38584,1653120315.475,1726298402.95145,2063730997.66213,1734376994.48388,2311460739.75953,1687884178.79722,1251280889.37784,1728373403.43067,1063767535.33587,1065298481.41867,1135787164.04941,825354992.310273,716939710.59488
Somalia,,,,,,,,,,,,,,,,,,,,,
Syrian Arab Republic,270000000.0,110000000.0,115000000.0,160000000.0,275000000.0,500000000.0,659000000.0,1241959115.11048,1465623386.27635,2569548271.53071,1469196863.48146,,,,,,,,,,
Tunisia,750720443.574375,451514809.247852,790302916.627593,539481939.0098,592147521.67862,712714847.262546,3239909092.61659,1515345043.99628,2600674976.49755,1525244857.52902,1334497694.56476,432666011.578487,1554269128.7808,1058622582.18395,1024754443.57725,970521888.740203,622569482.161979,810936482.841998,991385678.114219,815012991.372017,623075275.921853
"Yemen, Rep.",-8564000.0,14613000.0,28093000.0,48898000.0,21552000.0,-302056736.757507,1120970000.0,917300000.0,1554630000.0,129200000.0,188641795.777668,-517842928.476896,-14239188.3601923,-133570895.625639,-233104668.580815,-15444808.3545508,787000.0,5601000.0,3605670.0,3331220.0,
